anime_id,title,image_url,genre,aired_from_year,Vampire,Supernatural,Parody,Mystery,Game,Shounen Ai,Action,Dementia,Shounen,Harem,Shoujo,Seinen,Yaoi,Hentai,Military,Cars,School,Drama,Space,Comedy,Horror,Samurai,Adventure,Sci-Fi,Ecchi,Thriller,Shoujo Ai,NULL,Fantasy,Music,Martial Arts,Yuri,Sports,Historical,Slice of Life,Police,Mecha,Magic,Super Power,Demons,Josei,Kids,Romance,Psychological
3092,Junjou Romantica,https://myanimelist.cdn-dena.com/images/anime/7/8811.jpg,"Comedy, Drama, Romance, Shounen Ai",2008.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1579,Kiniro no Corda: Primo Passo,https://myanimelist.cdn-dena.com/images/anime/9/7228.jpg,"Comedy, Drama, Harem, Magic, Music, Romance, School, Shoujo",2006.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
32370,D.Gray-man Hallow,https://myanimelist.cdn-dena.com/images/anime/12/80766.jpg,"Action, Adventure, Super Power, Demons, Shounen",2016.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
34152,Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,https://myanimelist.cdn-dena.com/images/anime/10/83150.jpg,"Action, Mystery, Horror, Psychological",2017.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
153,Juuni Kokuki,https://myanimelist.cdn-dena.com/images/anime/6/50859.jpg,"Action, Adventure, Fantasy, Magic, Supernatural",2002.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27417,Diabolik Lovers OVA,https://myanimelist.cdn-dena.com/images/anime/12/74238.jpg,"Harem, School, Vampire, Shoujo",2015.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33398,Neko Konogoro,https://myanimelist.cdn-dena.com/images/anime/1877/91297.jpg,Comedy,2016.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,Ao no 6-gou,https://myanimelist.cdn-dena.com/images/anime/3/20750.jpg,"Action, Adventure, Mecha, Military, Sci-Fi",1998.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12447,Ben-To Picture Drama,https://myanimelist.cdn-dena.com/images/anime/13/34953.jpg,Comedy,2011.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1381,Seikai no Monshou Special,https://myanimelist.cdn-dena.com/images/anime/9/2753.jpg,"Action, Military, Romance, Sci-Fi, Space",2000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8022,Tegamibachi Gakuen,https://myanimelist.cdn-dena.com/images/anime/4/19573.jpg,Comedy,2010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32666,Oniku Daisuki! Zeushi-kun: Suteki na Hamburger,https://myanimelist.cdn-dena.com/images/anime/3/78398.jpg,Comedy,2016.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33775,Soul Buster,https://myanimelist.cdn-dena.com/images/anime/3/82256.jpg,"Action, Samurai",2016.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14353,Death Billiards,https://myanimelist.cdn-dena.com/images/anime/11/48721.jpg,"Game, Mystery, Psychological, Drama, Thriller",2013.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5235,Live On Cardliver Kakeru,https://myanimelist.cdn-dena.com/images/anime/9/21028.jpg,"Game, Fantasy",2008.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26443,Triage X,https://myanimelist.cdn-dena.com/images/anime/8/73682.jpg,"Action, Adventure, Ecchi, Shounen",2015.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
